record_id,record_group,source_document,source_table,source_page,mix_id,mix_proportion_reported,fa_percent_numeric,ggbs_percent_numeric,sf_percent_numeric,coarse_aggregate_kg_m3,fine_aggregate_kg_m3,fly_ash_kg_m3,ggbs_kg_m3,sf_kg_m3,naoh_kg_m3,na2sio3_kg_m3,naoh_molarity_M,superplasticizer_percent,reported_al_ratio,aas_b_ratio,curing_regime,curing_temperature_C,curing_duration_hours,mechanical_test_age_days,acid_type,acid_concentration_percent,acid_exposure_days,slump_mm,workability_class,compressive_strength_mpa,split_tensile_strength_mpa,flexural_strength_mpa,upv_m_s,upv_quality_reported,rebound_estimated_strength_mpa,initial_mass_kg,exposed_mass_kg,mass_change_percent_derived,initial_compressive_strength_mpa,residual_compressive_strength_mpa,strength_loss_percent_derived,data_status,notes
GPC-0001,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M1,0:90:10,0,90,10,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,55,Medium,36.4,,,,,,,,,,,,CONFLICTING_ACROSS_TABLES,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. The 28-day compressive value at AAS:B=0.40 differs from the value reported for the same mix in Table 8; both source values are retained as separate records.
GPC-0002,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M1,0:90:10,0,90,10,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,59,Medium,10.22,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0003,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M1,0:90:10,0,90,10,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,64,Medium,15.15,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0004,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M2,10:80:10,10,80,10,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,62,Medium,53.57,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0005,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M2,10:80:10,10,80,10,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,66,Medium,12.42,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0006,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M2,10:80:10,10,80,10,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,70,Medium,15.1,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0007,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M3,20:70:10,20,70,10,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,66,Medium,47.3,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0008,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M3,20:70:10,20,70,10,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,69,Medium,14.13,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0009,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M3,20:70:10,20,70,10,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,73,Medium,15.2,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0010,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M4,30:60:10,30,60,10,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,50,Medium,34.32,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
