record_id,record_group,dataset_origin,data_block,data_locator,mix_id,mix_proportion_label,fa_percent_numeric,ggbs_percent_numeric,sf_percent_numeric,coarse_aggregate_kg_m3,fine_aggregate_kg_m3,fly_ash_kg_m3,ggbs_kg_m3,sf_kg_m3,naoh_kg_m3,na2sio3_kg_m3,naoh_molarity_M,superplasticizer_percent,activator_ratio_label,aas_b_ratio,curing_regime,curing_temperature_C,curing_duration_hours,mechanical_test_age_days,acid_type,acid_concentration_percent,acid_exposure_days,slump_mm,workability_class,compressive_strength_mpa,split_tensile_strength_mpa,flexural_strength_mpa,upv_m_s,upv_quality_label,rebound_estimated_strength_mpa,initial_mass_kg,exposed_mass_kg,mass_change_percent_derived,initial_compressive_strength_mpa,residual_compressive_strength_mpa,strength_loss_percent_derived,data_status,notes
GPC-0001,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0001,M1,0:90:10,0.0,90.0,10.0,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,55.0,Medium,36.4,,,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0002,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0002,M1,0:90:10,0.0,90.0,10.0,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,59.0,Medium,10.22,,,,,,,,,,,,IMPORTED,
GPC-0003,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0003,M1,0:90:10,0.0,90.0,10.0,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,64.0,Medium,15.15,,,,,,,,,,,,IMPORTED,
GPC-0004,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0004,M2,10:80:10,10.0,80.0,10.0,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,62.0,Medium,53.57,,,,,,,,,,,,IMPORTED,
GPC-0005,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0005,M2,10:80:10,10.0,80.0,10.0,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,66.0,Medium,12.42,,,,,,,,,,,,IMPORTED,
GPC-0006,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0006,M2,10:80:10,10.0,80.0,10.0,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,70.0,Medium,15.1,,,,,,,,,,,,IMPORTED,
GPC-0007,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0007,M3,20:70:10,20.0,70.0,10.0,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,66.0,Medium,47.3,,,,,,,,,,,,IMPORTED,
GPC-0008,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0008,M3,20:70:10,20.0,70.0,10.0,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,69.0,Medium,14.13,,,,,,,,,,,,IMPORTED,
GPC-0009,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0009,M3,20:70:10,20.0,70.0,10.0,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,73.0,Medium,15.2,,,,,,,,,,,,IMPORTED,
GPC-0010,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0010,M4,30:60:10,30.0,60.0,10.0,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,50.0,Medium,34.32,,,,,,,,,,,,IMPORTED,
